definition_id,cohort_period,cohort_size,users_returning_after_period_0,return_rate,median_active_periods,median_days_to_first_return,inactive_users,resurrected_users,censored_users,status
activation_retention,2025-W02,2,2,1.0,4,2,0,0,0,passed
activation_retention,2025-W03,2,1,0.5,2,6,0,0,0,passed
activation_retention,2025-W04,1,1,1.0,4,4,0,0,0,passed
activation_retention,2025-W05,3,3,1.0,3,3,0,0,0,passed
activation_retention,2025-W06,1,1,1.0,2,2,0,0,0,passed
activation_retention,2025-W07,1,1,1.0,6,1,0,0,0,passed
activation_retention,2025-W08,2,2,1.0,4,2,0,0,0,passed
automation_user_retention,2025-W02,1,1,1.0,5,2,0,0,0,passed
collaboration_user_retention,2025-W02,1,1,1.0,5,5,0,0,0,passed
collaboration_user_retention,2025-W03,2,2,1.0,3,5,0,0,0,passed
collaboration_user_retention,2025-W04,1,1,1.0,4,4,0,0,0,passed
collaboration_user_retention,2025-W05,2,2,1.0,3,2,0,0,0,passed
collaboration_user_retention,2025-W08,3,3,1.0,5,4,0,0,0,passed
paid_user_retention,2025-W02,1,1,1.0,5,3,0,0,0,passed
paid_user_retention,2025-W03,1,1,1.0,3,4,0,0,0,passed
paid_user_retention,2025-W06,1,1,1.0,3,5,0,0,0,passed
paid_user_retention,2025-W08,1,1,1.0,5,2,0,0,0,passed
recommendation_engaged_retention,2025-W03,2,2,1.0,3,3,0,0,0,passed
recommendation_engaged_retention,2025-W05,1,1,1.0,3,3,0,0,0,passed
recommendation_engaged_retention,2025-W06,2,2,1.0,2,2,0,0,0,passed
recommendation_engaged_retention,2025-W07,2,2,1.0,4,1,0,0,0,passed
signup_retention,2025-W02,3,3,1.0,4,1,0,1,0,passed
signup_retention,2025-W03,1,0,0.0,1,,0,0,0,passed
signup_retention,2025-W04,2,2,1.0,3,2,0,1,0,passed
signup_retention,2025-W05,2,2,1.0,3,2,0,0,0,passed
signup_retention,2025-W06,1,1,1.0,2,4,0,0,0,passed
signup_retention,2025-W07,2,2,1.0,4,0,0,1,0,passed
signup_retention,2025-W08,1,1,1.0,5,2,0,0,0,passed
